mlplink,tmc
3666032150690580209,119P05917
3663694799423362333,119P05921
3668584177308211185,119P05957
3666825821989692786,119-04415
3670670126958165205,119+04680
3665777888624524900,119N12427
3666773973144826955,119+04469
3666198447528345135,119N07111
3675739287880405688,119P04391
3671144149611191775,119+04635
3670171988058315268,119+06952
3689004964386312271,119-05151
3681986944875127177,119N04433
3686766126782479424,119-08557
3668332745626260174,119-04600
3658590754776250160,119N14054
3668272289666628040,119-07153
3671749791543338730,119-17269
3680193796030113475,119N07105
3677397471672199057,119-05905
3684585808112184690,119+09614
3681146209322972409,119N07043
3672463580747467821,119N04386
3666976631176838194,119N07151
3677342225507955017,119P05906
3680126133114860844,119-16948
3689152260289722945,119-05151
3672297928151950440,119-04677
3670491920176058099,119N17273
3666839604539752640,119-04415
3666254479669825280,119P07010
3680085021686030354,119+04726
3668528256829543205,119N06949
3668584237437776914,119P05957
3669701856647135110,119+04573
3670079989858842219,119P06950
3666594211584144415,119N13798
3669675245025777178,119P06950
3666977275421884538,119+04425
3669677053207959530,119N14248
3668351175330259425,119P13041
3670200562476901320,119N04644
3666960181452034267,119-13067
3669049309379378402,119N04424
3670515044280000535,119P17281
3678199578288135877,119N17063
3674119101661916730,119P05899
3664991050615103965,119N04408
3680124612695651383,119+07102
3673172624013562592,119-04387
3667786047826202582,119-17162
3668248740360918212,119N17204
3668867258601387870,119P17205
3668382382562635374,119-04451
3655015215978131809,119+08610
3678293041072080330,119-17112
3673440410928903865,119N04681
3667586288900192869,119P17204
3668595687820566940,119P05917
3668515582385010349,119P04572
3680450570649902995,119N07105
3670686804316421641,119+12929
3662857345223028040,119P04466
3655506852293275756,119N04459
3673395532811476411,119N05043
3685736958131750877,119-07043
3672111930300096494,119N17285
3677254208743318149,119P14273
3667056564813211862,119-13791
3664873347038947185,119N04556
3668887724119853480,119+13069
3659436897691436588,119-04673
3665781109849894935,119-04722
3668908606250716335,119P04454
3668134726159244621,119N04545
3668582158673556925,119+05957
3664994662682633553,119-04408
3666056133786991377,119N07111
3664271042299990685,119N05953
3669016298261532323,119N17205
3666821758950646445,119-04415
3670081471625701345,119+12929
3668321617365350238,119P04686
3658235346228986359,119N07075
3665893453311162144,119+04574
3668181549892548590,119P17204
3671854545795945980,119P05915
3664875301249435967,119P05920
3670641359267214479,119P04679
3673864508885510624,119N17267
3672606598861512817,119N14197
3664674567358628430,119P04655
3676519902480504580,119P05909
3668337087838532780,119P04578
3672220163475505318,119N04682
3661009345349668033,119P04462
3674130998721325875,119P04389
3655559336792158162,119N04669
3671187112171902297,119+12929
3666543621165991038,119P05917
3668378255099685623,119N05928
3670983002437856218,119N06951
3655679475618811175,119P04459
3672947627854648832,119N14197
3666369434469529569,119-07010
3665816607753916550,119N07009
3666992548327636930,119P05917
3668339750718756360,119P04580
3664723555759902489,119N04558
3662997348274302231,119P05921
3668336228844963279,119P04547
3665778683193450015,119N12726
3670808553754238104,119N17219
3672568596992846885,119N04386
3670620292452643134,119-04679
3667931539847685436,119N05917
3668111722314459326,119N04577
